Fuel Type Code,EV Level2 EVSE Num,EV DC Fast Count,Latitude,Longitude,ID,join_STATEFP,join_COUNTYFP,join_TRACTCE,join_BLKGRPCE,join_AFFGEOID,join_GEOID,join_NAME,join_LSAD,join_ALAND,join_AWATER,join_id,chargers
ELEC,0,1,31.776208,-82.340622,353536,13,1,950200,3,1500000US130019502003,1.3002E+11,3,BG,39432445,152121,130019502003,1
ELEC,0,2,33.140561,-83.271884,351413,13,9,970300,2,1500000US130099703002,1.301E+11,2,BG,30296395,148505,130099703002,2
ELEC,2,0,33.15436,-83.275832,320395,13,9,970300,2,1500000US130099703002,1.301E+11,2,BG,30296395,148505,130099703002,2
ELEC,9,0,33.1287561,-83.265203,114056,13,9,970300,2,1500000US130099703002,1.301E+11,2,BG,30296395,148505,130099703002,9
ELEC,0,1,33.112225,-83.258282,181113,13,9,970300,2,1500000US130099703002,1.301E+11,2,BG,30296395,148505,130099703002,1
ELEC,0,1,33.112198,-83.25825,197828,13,9,970300,2,1500000US130099703002,1.301E+11,2,BG,30296395,148505,130099703002,1
ELEC,1,1,33.10604,-83.25782,46662,13,9,970400,2,1500000US130099704002,1.301E+11,2,BG,2444363,6509,130099704002,2
ELEC,0,12,34.250098,-83.459062,321143,13,11,970400,1,1500000US130119704001,1.3012E+11,1,BG,125403387,1033255,130119704001,12
ELEC,0,4,34.24706,-83.45774,170344,13,11,970400,1,1500000US130119704001,1.3012E+11,1,BG,125403387,1033255,130119704001,4
ELEC,2,0,34.097794,-83.815374,179861,13,13,180103,1,1500000US130131801031,1.30132E+11,1,BG,30453019,299894,130131801031,2
ELEC,0,1,34.0977,-83.81544,238805,13,13,180103,1,1500000US130131801031,1.30132E+11,1,BG,30453019,299894,130131801031,1
ELEC,8,0,34.101297,-83.817654,114004,13,13,180103,1,1500000US130131801031,1.30132E+11,1,BG,30453019,299894,130131801031,8
ELEC,2,0,33.942649,-83.739566,353554,13,13,180503,1,1500000US130131805031,1.30132E+11,1,BG,23048291,134134,130131805031,2
ELEC,2,0,33.9426494,-83.73956645,195708,13,13,180503,1,1500000US130131805031,1.30132E+11,1,BG,23048291,134134,130131805031,2
ELEC,1,0,34.21132,-84.7576,250963,13,15,960102,1,1500000US130159601021,1.3016E+11,1,BG,47653141,349950,130159601021,1
ELEC,0,8,34.377887,-84.91571,194088,13,15,960200,2,1500000US130159602002,1.3016E+11,2,BG,5936037,0,130159602002,8
ELEC,2,0,34.302219,-84.983746,173193,13,15,960300,1,1500000US130159603001,1.3016E+11,1,BG,86986275,107255,130159603001,2
ELEC,1,0,34.302263,-84.983802,97072,13,15,960300,1,1500000US130159603001,1.3016E+11,1,BG,86986275,107255,130159603001,1
ELEC,2,0,34.20248692,-84.78476964,320216,13,15,960401,2,1500000US130159604012,1.3016E+11,2,BG,8293923,0,130159604012,2
ELEC,2,0,34.20384,-84.76345,346292,13,15,960402,3,1500000US130159604023,1.3016E+11,3,BG,18583255,0,130159604023,2
ELEC,3,0,34.241831,-84.770259,114095,13,15,960402,3,1500000US130159604023,1.3016E+11,3,BG,18583255,0,130159604023,3
ELEC,2,0,34.1763735,-84.7551991,224389,13,15,960700,1,1500000US130159607001,1.3016E+11,1,BG,57221719,7425107,130159607001,2
ELEC,2,0,34.173287,-84.776994,105351,13,15,960700,1,1500000US130159607001,1.3016E+11,1,BG,57221719,7425107,130159607001,2
ELEC,2,0,34.1751225,-84.7656241,224387,13,15,960700,2,1500000US130159607002,1.3016E+11,2,BG,3986044,0,130159607002,2
ELEC,2,0,34.1751571,-84.7644005,224388,13,15,960700,2,1500000US130159607002,1.3016E+11,2,BG,3986044,0,130159607002,2
ELEC,2,0,34.1943895,-84.796229,212430,13,15,960700,3,1500000US130159607003,1.3016E+11,3,BG,2354473,0,130159607003,2
ELEC,0,1,34.162794,-84.789602,319722,13,15,960700,5,1500000US130159607005,1.3016E+11,5,BG,1084296,0,130159607005,1
ELEC,2,0,34.119244,-84.746025,179863,13,15,960803,1,1500000US130159608031,1.3016E+11,1,BG,26267051,4232801,130159608031,2
ELEC,0,1,34.119267,-84.74606,259567,13,15,960803,1,1500000US130159608031,1.3016E+11,1,BG,26267051,4232801,130159608031,1
ELEC,2,0,34.1206708,-84.7470219,224390,13,15,960803,1,1500000US130159608031,1.3016E+11,1,BG,26267051,4232801,130159608031,2
ELEC,2,0,34.1134909,-84.7301802,148602,13,15,960803,1,1500000US130159608031,1.3016E+11,1,BG,26267051,4232801,130159608031,2
ELEC,2,0,32.825982,-83.654688,179862,13,21,10500,1,1500000US130210105001,1.3021E+11,1,BG,864989,0,130210105001,2
ELEC,0,1,32.825962,-83.654685,256974,13,21,10500,1,1500000US130210105001,1.3021E+11,1,BG,864989,0,130210105001,1
ELEC,2,0,32.8419782,-83.6383323,114050,13,21,10800,1,1500000US130210108001,1.3021E+11,1,BG,1637221,52088,130210108001,2
ELEC,2,0,32.841256,-83.636497,114049,13,21,10800,1,1500000US130210108001,1.3021E+11,1,BG,1637221,52088,130210108001,2
ELEC,0,1,32.88618,-83.673986,224655,13,21,12102,3,1500000US130210121023,1.3021E+11,3,BG,2242831,0,130210121023,1
ELEC,0,1,32.88618,-83.673943,226594,13,21,12102,3,1500000US130210121023,1.3021E+11,3,BG,2242831,0,130210121023,1
ELEC,0,1,32.88662,-83.675043,350313,13,21,12102,3,1500000US130210121023,1.3021E+11,3,BG,2242831,0,130210121023,1
ELEC,0,1,32.88662,-83.675097,350312,13,21,12102,3,1500000US130210121023,1.3021E+11,3,BG,2242831,0,130210121023,1
ELEC,0,1,32.888134,-83.675735,353528,13,21,12102,3,1500000US130210121023,1.3021E+11,3,BG,2242831,0,130210121023,1
ELEC,0,10,32.89715,-83.689132,116800,13,21,13407,2,1500000US130210134072,1.3021E+11,2,BG,4353241,0,130210134072,10
ELEC,0,4,32.927261,-83.732541,319953,13,21,13408,1,1500000US130210134081,1.3021E+11,1,BG,5909645,0,130210134081,4
ELEC,0,1,32.88202,-83.766693,181471,13,21,13410,3,1500000US130210134103,1.3021E+11,3,BG,11649231,129256,130210134103,1
ELEC,0,1,32.882043,-83.766682,181470,13,21,13410,3,1500000US130210134103,1.3021E+11,3,BG,11649231,129256,130210134103,1
ELEC,2,0,32.881994,-83.766718,167227,13,21,13410,3,1500000US130210134103,1.3021E+11,3,BG,11649231,129256,130210134103,2
ELEC,2,0,32.920767,-83.708842,99712,13,21,13411,1,1500000US130210134111,1.3021E+11,1,BG,9323359,380236,130210134111,2
ELEC,4,0,32.919321,-83.706463,114051,13,21,13411,1,1500000US130210134111,1.3021E+11,1,BG,9323359,380236,130210134111,4
ELEC,2,0,32.92268,-83.709206,193401,13,21,13411,1,1500000US130210134111,1.3021E+11,1,BG,9323359,380236,130210134111,2
ELEC,2,0,32.92339,-83.709706,195941,13,21,13411,1,1500000US130210134111,1.3021E+11,1,BG,9323359,380236,130210134111,2
