geohash,ev_number,count,demand,chargers
130019501001,2.0,2.0,2.0,0.0
130019501002,1.0,2.0,2.0,0.0
130019502001,2.0,0.0,2.0,0.0
130019502002,1.0,0.0,1.0,0.0
130019502003,2.0,0.0,2.0,1.0
130019503001,4.0,0.0,4.0,0.0
130019503002,1.0,0.0,1.0,0.0
130019503003,6.0,0.0,6.0,0.0
130019503004,2.0,0.0,2.0,0.0
130019504001,2.0,2.0,2.0,0.0
130019504002,1.0,2.0,2.0,0.0
130019505001,2.0,3.0,3.0,0.0
130019505002,1.0,1.0,1.0,0.0
130019505003,1.0,1.0,1.0,0.0
130039601001,2.0,3.0,3.0,0.0
130039601002,2.0,3.0,3.0,0.0
130039602001,1.0,6.0,6.0,0.0
130039602002,2.0,5.0,5.0,0.0
130039602003,1.0,4.0,4.0,0.0
130039603001,2.0,2.0,2.0,0.0
130059701001,1.0,2.0,2.0,0.0
130059701002,2.0,2.0,2.0,0.0
130059701003,1.0,3.0,3.0,0.0
130059702011,1.0,4.0,4.0,0.0
130059702012,2.0,7.0,7.0,0.0
130059702013,6.0,12.0,12.0,0.0
130059702021,2.0,9.0,9.0,0.0
130059702022,1.0,9.0,9.0,0.0
130059702023,1.0,3.0,3.0,0.0
130079601001,1.0,3.0,3.0,0.0
130079601002,5.0,5.0,5.0,0.0
130079602001,1.0,3.0,3.0,0.0
130079602002,2.0,4.0,4.0,0.0
130099701001,1.0,0.0,1.0,0.0
130099701002,1.0,0.0,1.0,0.0
130099701003,1.0,0.0,1.0,0.0
130099702001,1.0,0.0,1.0,0.0
130099702002,7.0,0.0,7.0,0.0
130099702003,6.0,0.0,6.0,0.0
130099702004,1.0,0.0,1.0,0.0
130099702005,1.0,0.0,1.0,0.0
130099703001,1.0,0.0,1.0,0.0
130099703002,22.0,0.0,22.0,15.0
130099704001,1.0,0.0,1.0,0.0
130099704002,1.0,45.0,45.0,2.0
130099704003,1.0,2.0,2.0,0.0
130099704004,1.0,0.0,1.0,0.0
130099704005,5.0,135.0,135.0,0.0
130099705001,179.0,0.0,179.0,0.0
130099705002,2.0,0.0,2.0,0.0
130099705003,1.0,0.0,1.0,0.0
130099706001,2.0,5.0,5.0,0.0
130099706002,1.0,1.0,1.0,0.0
130099706003,2.0,0.0,2.0,0.0
130099706004,2.0,3.0,3.0,0.0
130099707011,319.0,83.0,319.0,0.0
130099707012,2.0,5.0,5.0,0.0
130099707013,2.0,2.0,2.0,0.0
130099707021,1.0,1.0,1.0,0.0
130099707022,4.0,2.0,4.0,0.0
130099708001,1.0,0.0,1.0,0.0
130099708002,2.0,0.0,2.0,0.0
130099708003,1.0,0.0,1.0,0.0
130099708004,2.0,0.0,2.0,0.0
130119701001,1.0,2.0,2.0,0.0
130119701002,2.0,1.0,2.0,0.0
130119702001,1.0,1.0,1.0,0.0
130119702002,2.0,1.0,2.0,0.0
130119703001,2.0,3.0,3.0,0.0
130119703002,1.0,6.0,6.0,0.0
130119704001,2.0,41.0,41.0,16.0
130131801031,5.0,2.0,5.0,11.0
130131801041,1.0,8.0,8.0,0.0
130131801051,1.0,2.0,2.0,0.0
130131801061,2.0,2.0,2.0,0.0
130131801062,2.0,1.0,2.0,0.0
130131801071,1.0,2.0,2.0,0.0
130131801072,2.0,4.0,4.0,0.0
130131801081,2.0,2.0,2.0,0.0
130131801082,1.0,1.0,1.0,0.0
130131802031,2.0,4.0,4.0,0.0
130131802032,1.0,1.0,1.0,0.0
130131802041,352.0,247.0,352.0,0.0
130131802042,2.0,49.0,49.0,0.0
130131802051,7.0,91.0,91.0,0.0
130131802052,2.0,42.0,42.0,0.0
130131802053,5.0,89.0,89.0,0.0
130131802061,2.0,2.0,2.0,0.0
130131802062,103.0,24.0,103.0,0.0
130131803011,1.0,1.0,1.0,0.0
130131803021,1.0,32.0,32.0,0.0
130131803022,5.0,22.0,22.0,0.0
130131803031,1.0,3.0,3.0,0.0
130131803032,2.0,1.0,2.0,0.0
130131804011,2.0,3.0,3.0,0.0
130131804012,1.0,1.0,1.0,0.0
130131804021,2.0,48.0,48.0,0.0
130131804022,1.0,53.0,53.0,0.0
130131804023,315.0,164.0,315.0,0.0
130131805011,1.0,4.0,4.0,0.0
130131805021,2.0,3.0,3.0,0.0
130131805022,2.0,1.0,2.0,0.0
130131805023,1.0,3.0,3.0,0.0
130131805024,2.0,0.0,2.0,0.0
130131805031,3.0,1.0,3.0,4.0
130159601011,2.0,1.0,2.0,0.0
130159601021,1.0,0.0,1.0,1.0
130159601022,1.0,0.0,1.0,0.0
130159601023,1.0,0.0,1.0,0.0
130159602001,1.0,0.0,1.0,0.0
130159602002,6.0,0.0,6.0,8.0
130159602003,2.0,0.0,2.0,0.0
130159602004,1.0,0.0,1.0,0.0
130159602005,1.0,0.0,1.0,0.0
130159603001,2.0,0.0,2.0,3.0
130159603002,1.0,0.0,1.0,0.0
130159604011,2.0,0.0,2.0,0.0
130159604012,6.0,0.0,6.0,2.0
130159604013,323.0,0.0,323.0,0.0
130159604021,1.0,0.0,1.0,0.0
130159604022,2.0,0.0,2.0,0.0
130159604023,1.0,0.0,1.0,5.0
130159605001,2.0,0.0,2.0,0.0
130159605002,2.0,0.0,2.0,0.0
130159605003,2.0,0.0,2.0,0.0
130159605004,2.0,0.0,2.0,0.0
130159606001,2.0,0.0,2.0,0.0
130159606002,3.0,0.0,3.0,0.0
130159606003,1.0,0.0,1.0,0.0
130159606004,1.0,0.0,1.0,0.0
130159606005,6.0,0.0,6.0,0.0
130159606006,2.0,0.0,2.0,0.0
130159607001,2.0,0.0,2.0,4.0
130159607002,2.0,0.0,2.0,4.0
130159607003,3.0,0.0,3.0,2.0
130159607004,3.0,0.0,3.0,0.0
